ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
ITA26748,ITA,26748,Poggibonsi,POGGIBONSI,42921,44677,46536,99.73,39.16,37.90,1.26,17.50,17.41,0.08,43.45543341,11.14921104
BGR26749,BGR,26749,Pleven,PLEVEN,132819,127858,123082,283.14,39.73,39.84,-0.11,15.32,14.77,0.56,43.42075722,24.57238499
USA26758,USA,26758,Fremont,FREMONT,3875,4046,4224,86.62,34.44,32.03,2.41,11.91,11.28,0.63,43.46594577,-85.95417014
CAN26759,CAN,26759,Mitchell,MITCHELL,3591,3853,4124,42.37,30.31,29.69,0.62,10.36,9.82,0.55,43.46858911,-81.19081239
CHN26767,CHN,26767,Yushutai,YUSHUTAI,34593,41769,49809,36.14,30.66,29.84,0.82,16.38,17.00,-0.62,43.47935201,124.292517
JPN26768,JPN,26768,Furano,FURANO,26665,26046,26112,283.34,33.73,29.97,3.76,13.39,12.85,0.54,43.37854074,142.4169668
USA26772,USA,26772,Lake Park,LAKEPARK,996,1009,1023,58.59,33.49,34.29,-0.80,10.54,10.28,0.25,43.45697689,-95.3077158
USA26773,USA,26773,Fredonia,FREDONIA,1558,1736,1934,35.52,33.94,32.76,1.18,12.21,12.43,-0.22,43.46999175,-87.95124724
USA26774,USA,26774,Sanford,SANFORD,17767,17778,17794,121.57,30.41,29.61,0.79,13.27,12.60,0.67,43.43765787,-70.74186414
ESP26775,ESP,26775,AsÿPontesÿdeÿGarc¡aÿRodr¡guez,ASPONTESDEGARCIARODRIGUEZ,11482,11740,12039,117.15,30.76,30.93,-0.17,11.83,10.94,0.88,43.45697565,-7.862338887
FRA26781,FRA,26781,Béziers,BEZIERS,204229,210505,217030,1147.89,39.54,38.00,1.54,18.15,18.29,-0.13,43.31230218,3.230594914
RUS26791,RUS,26791,Vladivostok,VLADIVOSTOK,698517,681926,665105,725.90,29.86,27.43,2.43,17.86,18.43,-0.58,43.2938757,132.114648
USA26798,USA,26798,Hot Springs,HOTSPRINGS,4325,4226,4129,123.47,40.68,42.55,-1.88,15.96,15.45,0.52,43.42478139,-103.4556001
USA26800,USA,26800,Northwood,NORTHWOOD,1940,1994,2050,56.10,37.39,36.71,0.67,11.62,11.17,0.45,43.44912388,-93.20204101
USA26801,USA,26801,Mexico,MEXICO,1555,1563,1572,21.19,31.38,29.79,1.59,11.77,12.79,-1.02,43.46086658,-76.22206446
RUS26806,RUS,26806,Tyrnyauz,TYRNYAUZ,26438,26397,26100,124.74,24.47,21.68,2.78,7.36,5.24,2.12,43.41678611,42.94424051
USA26809,USA,26809,Reese,REESE,1414,1394,1375,18.07,34.23,33.61,0.62,12.75,12.65,0.10,43.45449448,-83.68750381
RUS26815,RUS,26815,Groznyj,GROZNYJ,383302,305862,244068,1060.96,42.87,39.64,3.23,15.96,15.89,0.07,43.30504422,45.64410217
USA26820,USA,26820,Rock Rapids,ROCKRAPIDS,2601,2587,2573,57.98,34.11,33.14,0.96,10.89,10.73,0.17,43.43496109,-96.15416873
USA26821,USA,26821,Spirit Lake,SPIRITLAKE,6994,7430,7897,236.91,32.62,33.65,-1.04,12.63,10.91,1.72,43.38189738,-95.12377724
USA26822,USA,26822,Lakeview,LAKEVIEW,1108,1110,1112,29.93,31.92,31.01,0.91,11.18,11.48,-0.31,43.43765446,-85.26597481
FRA26824,FRA,26824,Pau,PAU,194517,206613,219462,702.65,35.95,34.67,1.28,16.67,16.08,0.59,43.32964335,-0.429840895
BGR26825,BGR,26825,Montana,MONTANA,53192,51418,49704,91.06,39.83,39.83,0.00,14.21,14.06,0.15,43.41590987,23.23794804
USA26834,USA,26834,Lake Mills,LAKEMILLS,2143,2141,2140,58.00,35.49,35.45,0.04,11.31,11.17,0.14,43.4216104,-93.51465389
USA26835,USA,26835,Sandusky,SANDUSKY,2403,2568,2745,62.99,30.11,30.50,-0.40,12.09,11.62,0.48,43.41934635,-82.83007861
CAN26836,CAN,26836,Hensall,HENSALL,1025,1100,1178,24.32,31.58,30.63,0.95,10.77,10.04,0.73,43.433768,-81.49690381
ESP26838,ESP,26838,Llanes,LLANES,12621,12905,13233,58.21,28.22,28.78,-0.57,14.70,13.41,1.29,43.4120617,-4.795291232
ITA26839,ITA,26839,Filottrano,FILOTTRANO,8971,9119,9270,12.47,41.94,41.48,0.45,17.04,16.77,0.27,43.44074417,13.35040815
BGR26840,BGR,26840,Varna,VARNA,307091,310454,313854,564.53,37.77,38.00,-0.22,16.65,15.63,1.02,43.25024994,27.84623625
USA26843,USA,26843,Roseburg,ROSEBURG,37732,40134,42946,545.39,40.53,37.65,2.88,13.53,13.07,0.46,43.24493863,-123.3549047
USA26844,USA,26844,Sibley,SIBLEY,2815,2805,2796,69.87,32.83,33.29,-0.46,10.72,10.57,0.16,43.40635398,-95.73326387
USA26845,USA,26845,Estherville,ESTHERVILLE,6720,6688,6656,109.79,34.38,34.60,-0.22,11.28,10.72,0.56,43.40624681,-94.81662296
USA26849,USA,26849,Newburg,NEWBURG,875,990,1119,7.48,33.08,32.62,0.46,13.00,12.31,0.70,43.43782806,-88.04792007
USA26850,USA,26850,Alma,ALMA,12862,13302,13769,157.22,33.47,32.81,0.66,12.05,11.54,0.51,43.39712076,-84.63806542
FRA26853,FRA,26853,Brignoles,BRIGNOLES,18782,18773,18763,84.20,36.10,35.04,1.06,17.60,17.05,0.55,43.41301343,6.063788819
KAZ26855,KAZ,26855,Turkestan,TURKESTAN,78456,82348,86433,208.64,50.66,52.46,-1.79,16.70,15.89,0.81,43.3222603,68.25657621
USA26864,USA,26864,Winner,WINNER,3354,3244,3137,114.82,37.24,36.83,0.41,11.57,11.81,-0.24,43.38284561,-99.84887047
USA26866,USA,26866,Newaygo,NEWAYGO,1336,1494,1670,38.05,30.77,31.32,-0.55,11.91,11.63,0.29,43.41036938,-85.79474285
USA26867,USA,26867,Edmore,EDMORE,1126,1184,1244,33.06,32.67,31.71,0.96,10.88,10.96,-0.07,43.4074826,-85.03561785
USA26870,USA,26870,Granville,GRANVILLE,2646,2645,2644,52.06,30.81,29.43,1.38,13.08,12.97,0.11,43.4085231,-73.25145482
ITA26873,ITA,26873,Rosignano Marittimo,ROSIGNANOMARITTIMO,54422,55615,56846,166.54,39.16,37.84,1.32,19.49,18.58,0.91,43.35163375,10.5015027
USA26879,USA,26879,Platte,PLATTE,1311,1339,1367,73.00,33.73,32.90,0.82,12.35,12.41,-0.05,43.39245787,-98.82140628
USA26880,USA,26880,Parkston,PARKSTON,1572,1622,1674,62.39,35.80,35.40,0.40,13.00,12.77,0.23,43.39332815,-97.97616795
USA26881,USA,26881,Parker,PARKER,984,1007,1031,48.04,32.44,32.26,0.18,12.05,11.89,0.15,43.40265543,-97.12408427
USA26883,USA,26883,Howard,HOWARD,1351,1463,1585,35.56,31.17,30.90,0.27,11.88,12.11,-0.23,43.39923148,-85.47405385
USA26884,USA,26884,Breckenridge,BRECKENRIDGE,1301,1320,1339,20.58,34.45,33.22,1.23,12.11,11.78,0.33,43.41232386,-84.47033379
CHN26893,CHN,26893,Dunhua,DUNHUA,199024,240309,286554,136.07,32.38,29.83,2.55,15.02,13.52,1.50,43.37074034,128.2418061
USA26898,USA,26898,Cresco,CRESCO,3669,3785,3905,81.76,33.24,32.94,0.30,10.76,10.74,0.03,43.37892263,-92.10945083
USA26899,USA,26899,Poynette,POYNETTE,1662,1941,2266,29.95,30.72,30.19,0.54,12.84,13.05,-0.22,43.39303626,-89.3961834
CAN26900,CAN,26900,Stratford,STRATFORD,25487,27346,29274,141.04,31.08,29.62,1.47,9.95,9.78,0.17,43.3778718,-80.98046115
ESP26902,ESP,26902,Vald?s,VALDES,22659,22931,23320,149.18,31.00,29.15,1.85,12.24,13.02,-0.78,43.36589646,-5.217771522
ITA26906,ITA,26906,Volterra,VOLTERRA,13072,12234,11451,16.22,38.03,38.53,-0.50,18.82,17.64,1.18,43.40417487,10.86505616
SCG26908,SCG,26908,Ni?,NIS,166557,169506,172508,274.82,41.13,38.76,2.36,14.47,13.88,0.59,43.32809397,21.91146858
USA26915,USA,26915,St. Ansgar,ST.ANSGAR,1063,1047,1031,44.31,33.85,35.22,-1.37,11.10,11.37,-0.26,43.38266366,-92.90581404
USA26917,USA,26917,Claremont,CLAREMONT,13902,13521,13151,96.74,30.83,28.85,1.98,11.73,12.55,-0.82,43.37487144,-72.33659053
HRV26920,HRV,26920,Supetar,SUPETAR,3145,3190,3030,13.74,36.86,38.01,-1.15,21.23,20.02,1.21,43.37418245,16.55951213
USA26925,USA,26925,Newport,NEWPORT,3772,3888,4008,56.80,29.56,28.02,1.55,12.25,12.78,-0.53,43.37207778,-72.15902444
USA26926,USA,26926,Farmington,FARMINGTON,3567,3517,3468,23.09,30.07,29.20,0.88,11.43,12.50,-1.08,43.38850314,-71.06633409
JPN26936,JPN,26936,Nemuro,NEMURO,36900,34900,33200,138.19,25.71,22.57,3.14,10.28,11.40,-1.12,43.32574432,145.6337557
USA26939,USA,26939,Muskegon,MUSKEGON,106953,106701,106516,712.55,31.24,28.72,2.52,13.85,13.93,-0.08,43.17722152,-86.20527082
USA26940,USA,26940,Vassar,VASSAR,2559,2688,2823,33.71,32.69,32.47,0.23,12.52,12.53,-0.01,43.3713162,-83.57701079
CAN26941,CAN,26941,Exeter,EXETER,3824,4102,4392,109.93,30.81,30.72,0.09,9.81,10.14,-0.33,43.33082168,-81.47685162
USA26954,USA,26954,Freeman,FREEMAN,1293,1305,1317,49.95,32.47,32.70,-0.23,12.32,12.22,0.10,43.35105755,-97.4209411
USA26955,USA,26955,Lennox,LENNOX,1767,1897,2037,41.83,33.99,33.21,0.79,10.87,11.15,-0.28,43.35698251,-96.8786733
USA26959,USA,26959,Lansing,LANSING,1007,1009,1012,23.51,27.99,28.35,-0.36,14.77,13.93,0.85,43.36278722,-91.22005552
USA26960,USA,26960,Columbus,COLUMBUS,4935,5243,5576,52.45,31.13,30.82,0.31,12.86,12.28,0.57,43.34655801,-89.01419044
CAN26961,CAN,26961,Tavistock,TAVISTOCK,2158,2316,2479,34.97,30.27,29.62,0.65,10.16,10.06,0.10,43.33381148,-80.82589697
ITA26966,ITA,26966,Gubbio,GUBBIO,30711,31119,31533,66.20,37.54,36.13,1.41,16.28,16.03,0.26,43.34002985,12.58607693
ITA26967,ITA,26967,Fabriano,FABRIANO,28594,29233,29887,84.30,39.54,36.97,2.57,16.24,16.11,0.14,43.3415939,12.93045518
HRV26968,HRV,26968,Makarska,MAKARSKA,11542,12352,13219,53.87,36.13,36.55,-0.42,19.03,17.45,1.58,43.32405991,17.00760535
BIH26969,BIH,26969,Mostar,MOSTAR,76947,71683,66779,68.07,42.82,40.51,2.31,18.74,16.59,2.15,43.342263,17.80943392
SCG26970,SCG,26970,Pljevlja,PLJEVLJA,19099,20515,22037,56.82,38.93,34.96,3.97,9.87,10.66,-0.79,43.35193114,19.3597448
CHN26976,CHN,26976,Yitong,YITONG,70887,85592,102064,57.44,31.65,29.14,2.51,17.89,17.12,0.76,43.3498754,125.3077776
USA26980,USA,26980,Richland Center,RICHLANDCENTER,5018,5066,5114,91.81,30.16,29.19,0.96,12.54,12.72,-0.18,43.33306658,-90.37344502
USA26981,USA,26981,Camden,CAMDEN,2552,2438,2330,44.96,29.74,29.01,0.73,10.61,11.01,-0.39,43.34187873,-75.73079085
ITA26984,ITA,26984,Siena,SIENA,57408,55182,53043,103.06,38.94,38.30,0.64,17.26,17.22,0.04,43.32611094,11.33683574
ITA26985,ITA,26985,Castiglion Fiorentino,CASTIGLIONFIORENTINO,11232,11575,11928,46.83,39.14,37.92,1.22,17.67,17.24,0.43,43.34071692,11.91893627
CHN26989,CHN,26989,Sanjiangkou,SANJIANGKOU,20794,25108,29940,7.49,33.29,30.82,2.47,18.45,17.94,0.51,43.3628273,123.7187392
CHN26990,CHN,26990,Guojiadian,GUOJIADIAN,52852,63816,76097,64.94,30.43,29.56,0.87,17.27,17.16,0.11,43.33975092,124.5908528
USA26994,USA,26994,George,GEORGE,1066,1058,1051,16.86,33.88,33.56,0.32,10.68,10.69,-0.01,43.34616061,-95.99336705
USA26997,USA,26997,Springfield,SPRINGFIELD,4207,4070,3938,83.09,30.04,29.25,0.78,12.36,12.42,-0.06,43.31558441,-72.48900734
ESP26998,ESP,26998,Tineo,TINEO,11956,12226,12536,34.98,32.87,32.08,0.80,11.01,11.32,-0.31,43.32741119,-6.400900169
USA27005,USA,27005,Marlette,MARLETTE,1924,2012,2104,33.73,30.38,29.58,0.80,11.90,11.71,0.20,43.32671707,-83.07130137
FRA27008,FRA,27008,Castelnaudary,CASTELNAUDARY,16034,17660,19451,68.72,37.70,35.82,1.88,16.63,16.52,0.11,43.3153286,1.966811453
ITA27010,ITA,27010,Monte San Savino,MONTESANSAVINO,7883,7987,8081,21.23,39.22,38.09,1.13,16.78,17.16,-0.37,43.33537667,11.74631563
RUS27011,RUS,27011,Vladikavkaz,VLADIKAVKAZ,465006,470499,474504,941.88,36.25,33.23,3.02,15.07,14.61,0.45,43.16691751,44.72594905
CHN27013,CHN,27013,Wangqing,WANGQING,67598,81621,97328,71.21,31.27,28.74,2.53,15.83,16.34,-0.51,43.32116154,129.7687028
USA27023,USA,27023,Decorah,DECORAH,8063,8117,8172,116.22,30.70,31.03,-0.33,11.32,11.21,0.11,43.30436047,-91.77038922
USA27024,USA,27024,Lake Wisconsin,LAKEWISCONSIN,4361,5271,6375,44.35,30.25,29.85,0.39,12.70,13.39,-0.68,43.31764095,-89.5188416
CAN27025,CAN,27025,Grand Bend,GRANDBEND,1674,1796,1923,39.69,30.11,28.40,1.71,15.61,14.34,1.28,43.3064373,-81.74078604
USA27026,USA,27026,Newfane,NEWFANE,4433,4351,4285,48.11,31.12,29.04,2.08,14.35,14.59,-0.25,43.30157273,-78.69930103
FRA27028,FRA,27028,Carcassonne,CARCASSONNE,77563,80310,83154,260.24,38.13,34.66,3.47,16.91,17.00,-0.09,43.2337613,2.371967162
CHN27031,CHN,27031,Lishu,LISHU,65239,78773,93932,66.85,31.95,30.29,1.66,17.00,16.94,0.06,43.31095847,124.336786
USA27034,USA,27034,Canton,CANTON,2787,2944,3110,66.23,32.74,32.61,0.13,11.40,11.56,-0.16,43.30433778,-96.58427977
USA27037,USA,27037,Rochester,ROCHESTER,440037,433899,428058,2532.45,32.09,29.08,3.01,13.10,13.64,-0.53,43.12181836,-77.51131542
USA27039,USA,27039,North Berwick,NORTHBERWICK,1568,1574,1580,33.74,31.26,30.34,0.93,11.95,12.44,-0.49,43.31082226,-70.72438711
ESP27041,ESP,27041,Vilalba,VILALBA,14614,14943,15322,56.86,32.17,32.73,-0.56,11.50,9.84,1.66,43.30229689,-7.664155239
BGR27044,BGR,27044,?umen,SUMEN,94381,91921,89525,145.64,38.47,38.41,0.06,15.77,15.20,0.57,43.28128258,26.96699771
USA27058,USA,27058,Osage,OSAGE,3439,3445,3451,78.12,34.54,34.91,-0.38,11.50,11.39,0.11,43.28909483,-92.7969037
USA27059,USA,27059,Prairie du Sac,PRAIRIEDUSAC,5399,5837,6340,72.11,31.22,29.83,1.39,13.11,13.22,-0.11,43.28449194,-89.71486031
USA27060,USA,27060,Ithaca,ITHACA,3009,3053,3098,42.50,33.40,33.17,0.23,11.44,11.58,-0.15,43.29567137,-84.59497926
USA27061,USA,27061,Wilson,WILSON,1307,1259,1213,16.25,28.12,28.60,-0.47,17.42,15.28,2.14,43.30609834,-78.82372166
USA27065,USA,27065,Glide,GLIDE,1708,1739,1690,29.37,41.45,35.60,5.85,12.45,12.56,-0.10,43.30219019,-123.0997354
USA27070,USA,27070,Forest,FOREST,4430,4396,4362,104.41,36.41,35.84,0.57,11.31,11.20,0.12,43.27026336,-93.62807249
USA27071,USA,27071,St. Charles,ST.CHARLES,2144,2179,2215,16.25,30.49,31.43,-0.94,12.80,12.30,0.49,43.30481491,-84.1435953
USA27072,USA,27072,Pittsfield,PITTSFIELD,1717,1693,1669,8.75,30.01,29.27,0.75,11.05,12.39,-1.34,43.30985291,-71.32500417
FRA27073,FRA,27073,Tarbes,TARBES,104034,107249,110563,242.71,36.50,34.76,1.74,16.32,16.16,0.17,43.23681885,0.067153632
ITA27075,ITA,27075,Treia,TREIA,9290,9340,9390,18.12,41.13,41.03,0.10,16.48,16.66,-0.18,43.303346,13.31134277
GEO27079,GEO,27079,Gagra,GAGRA,26085,23898,22642,97.67,27.75,24.61,3.14,17.10,14.28,2.82,43.24197102,40.31353864
RUS27080,RUS,27080,Hasavjurt,HASAVJURT,75413,80626,86200,393.59,38.61,37.46,1.14,16.16,15.60,0.56,43.21759793,46.4704145
USA27083,USA,27083,Rosebud,ROSEBUD,1538,1547,1557,150.81,43.12,42.68,0.44,13.56,12.62,0.93,43.21621726,-100.8607395
USA27084,USA,27084,Manly,MANLY,1349,1345,1342,33.12,37.68,36.84,0.84,11.61,11.65,-0.04,43.29002949,-93.19458068
USA27086,USA,27086,Waukon,WAUKON,4019,4075,4131,76.89,30.89,30.44,0.45,11.95,11.90,0.05,43.27448143,-91.46501008
USA27087,USA,27087,Stanton,STANTON,1504,1504,1504,22.50,33.43,32.03,1.40,10.43,11.08,-0.66,43.29292062,-85.07847597
USA27101,USA,27101,Croswell,CROSWELL,2953,3243,3571,90.66,28.61,27.54,1.07,12.98,14.03,-1.05,43.26415068,-82.56836688
BGR27105,BGR,27105,Targovi?te,TARGOVISTE,43530,42255,41018,86.30,40.31,37.15,3.17,14.90,15.54,-0.64,43.2533479,26.57638097
USA27118,USA,27118,Millington,MILLINGTON,1114,1125,1137,6.88,32.22,31.01,1.21,12.07,12.49,-0.42,43.27949524,-83.52311246
CAN27119,CAN,27119,St. Marys,STMARYS,5405,5799,6208,51.28,31.29,29.77,1.52,10.14,9.80,0.35,43.25439358,-81.13282744
ITA27120,ITA,27120,Cortona,CORTONA,22654,22376,22102,35.64,38.64,37.55,1.08,17.73,17.35,0.39,43.26282819,11.99231643
CHN27122,CHN,27122,Shijiabao,SHIJIABAO,27612,33340,39757,25.01,31.28,30.08,1.20,16.29,17.06,-0.77,43.26220224,124.5012372
USA27132,USA,27132,Madison,MADISON,287302,309438,335177,1134.00,31.75,30.36,1.39,13.66,13.06,0.60,43.08309214,-89.37483616
USA27133,USA,27133,Albion,ALBION,5863,6604,7438,66.30,33.56,31.36,2.21,12.20,12.04,0.16,43.24490367,-78.19450178
ITA27136,ITA,27136,Matelica,MATELICA,10210,10160,10110,19.39,39.48,37.41,2.06,15.60,15.85,-0.25,43.25879562,13.01598757
CHN27140,CHN,27140,Jingpeng,JINGPENG,24959,30136,35936,48.78,34.89,33.64,1.26,13.70,13.71,-0.01,43.25203684,117.5405851
USA27147,USA,27147,Blackfoot,BLACKFOOT,9646,10025,10419,259.12,39.43,44.23,-4.79,10.88,11.17,-0.29,43.2018985,-112.3928362
USA27148,USA,27148,Gregory,GREGORY,1384,1363,1342,75.70,34.92,35.78,-0.87,10.86,12.06,-1.20,43.23438465,-99.42868887
USA27150,USA,27150,Charlestown,CHARLESTOWN,1173,1159,1145,23.77,30.03,29.49,0.54,12.66,12.49,0.17,43.24835516,-72.41776792
SCG27155,SCG,27155,Prokuplje,PROKUPLJE,26470,26965,27469,65.68,42.60,39.20,3.40,14.13,14.27,-0.14,43.24005103,21.61011074
CAN27166,CAN,27166,Brantford,BRANTFORD,84862,91049,97470,299.32,31.46,30.44,1.03,11.76,10.83,0.93,43.17274717,-80.2767646
ITA27169,ITA,27169,Sinalunga,SINALUNGA,19645,19902,20150,83.23,40.30,39.44,0.86,16.66,16.88,-0.22,43.21270247,11.78291828
BGR27172,BGR,27172,Vraca,VRACA,76943,73429,70075,103.88,37.47,35.42,2.05,14.56,13.74,0.83,43.2115734,23.56916885
USA27181,USA,27181,Grand Rapids,GRANDRAPIDS,470972,495756,523283,1994.31,34.62,31.46,3.16,13.01,12.74,0.27,42.93537875,-85.7384146
USA27182,USA,27182,Medina,MEDINA,8562,8445,8332,100.12,30.82,30.92,-0.11,12.17,11.80,0.37,43.21668221,-78.41114984
USA27184,USA,27184,Northville,NORTHVILLE,1180,1159,1139,22.21,27.71,27.40,0.32,13.98,14.17,-0.19,43.23013144,-74.16192889
RUS27192,RUS,27192,Kiziljurt,KIZILJURT,27856,27813,27500,118.92,40.96,38.31,2.65,17.27,16.77,0.49,43.20449519,46.86564897
USA27201,USA,27201,Contoocook,CONTOOCOOK,1334,1388,1444,20.02,30.30,29.51,0.79,14.17,13.65,0.53,43.21803621,-71.70833707
CHN27209,CHN,27209,Siping,SIPING,301491,364031,434085,244.86,33.31,30.32,2.99,18.04,17.44,0.60,43.16830458,124.3807741
RUS27210,RUS,27210,Partizansk,PARTIZANSK,47709,47637,47100,256.33,30.72,28.84,1.88,15.96,15.85,0.11,43.12148758,133.1708808
USA27212,USA,27212,Rock Valley,ROCKVALLEY,2540,2620,2702,64.46,33.09,32.58,0.51,12.18,11.89,0.29,43.20522297,-96.2769846
USA27213,USA,27213,Watertown,WATERTOWN,19142,20333,21598,102.66,34.00,32.29,1.72,13.44,13.02,0.42,43.19494194,-88.71097988
USA27214,USA,27214,North Branch,NORTHBRANCH,1023,1025,1027,13.14,30.01,29.62,0.39,12.43,11.97,0.45,43.2223514,-83.18393347
USA27215,USA,27215,Wolcott,WOLCOTT,1544,1626,1712,23.15,31.36,29.71,1.65,12.34,13.19,-0.86,43.2166563,-76.8050702
FRA27218,FRA,27218,Oloron-Sainte-Marie,OLORONSAINTEMARIE,20082,21123,22217,88.88,34.42,31.85,2.57,16.69,16.51,0.19,43.19651314,-0.598188082
USA27226,USA,27226,Hull,HULL,1724,1838,1960,48.20,32.89,33.02,-0.13,11.66,11.71,-0.05,43.19421312,-96.12765474
USA27227,USA,27227,Sheldon,SHELDON,4937,4925,4914,95.16,34.38,33.81,0.57,10.82,10.97,-0.15,43.18897953,-95.83712017
USA27228,USA,27228,Mason,MASON,40139,40197,40255,468.94,36.41,36.47,-0.06,12.11,11.45,0.66,43.14177346,-93.31832588
USA27230,USA,27230,Muscoda,MUSCODA,1287,1367,1453,47.94,30.28,29.32,0.97,13.03,13.19,-0.16,43.19498101,-90.43103673
USA27231,USA,27231,Greenville,GREENVILLE,8101,8018,7935,95.16,32.71,31.12,1.60,12.01,12.01,0.01,43.18782831,-85.25274493
USA27232,USA,27232,Brown,BROWN,1244,1288,1334,21.28,30.78,30.10,0.68,12.93,12.03,0.90,43.21062248,-82.98554271
USA27233,USA,27233,Sylvan Beach,SYLVANBEACH,1119,1095,1071,13.75,30.43,30.33,0.11,16.57,13.25,3.32,43.20653908,-75.71643248
BIH27236,BIH,27236,Ljubu?ki,LJUBUSKI,7538,6904,6324,47.57,42.94,40.82,2.12,17.63,17.70,-0.06,43.19835456,17.54516768
CHN27242,CHN,27242,Bamiancheng,BAMIANCHENG,44972,54301,64751,50.07,31.55,30.10,1.46,18.21,17.27,0.94,43.20251597,124.0525918
USA27250,USA,27250,Coquille,COQUILLE,4121,4152,4184,74.51,26.14,25.26,0.89,7.80,8.47,-0.67,43.17921456,-124.1806395
USA27253,USA,27253,Sanborn,SANBORN,1345,1349,1353,51.34,34.54,34.18,0.36,11.14,11.01,0.13,43.18874263,-95.63912884
USA27254,USA,27254,Hartley,HARTLEY,1632,1682,1733,57.60,35.43,34.75,0.68,10.78,10.62,0.16,43.18529215,-95.46069274
USA27255,USA,27255,Spencer,SPENCER,11066,11191,11317,162.24,36.28,35.49,0.79,11.32,10.91,0.40,43.15227468,-95.14322977
USA27256,USA,27256,Chesaning,CHESANING,2567,2557,2548,33.81,32.13,31.19,0.94,12.48,12.09,0.39,43.18813669,-84.1237706
CAN27257,CAN,27257,Lucan,LUCAN,1726,1852,1983,46.33,29.99,30.18,-0.18,10.35,9.88,0.47,43.18715264,-81.39516128
USA27258,USA,27258,Manchester Center,MANCHESTERCENTER,1574,1803,2065,76.38,29.27,26.93,2.35,12.51,11.93,0.59,43.18495892,-73.03354132
USA27267,USA,27267,Martin,MARTIN,1151,1128,1106,64.49,47.29,46.09,1.20,13.48,12.42,1.06,43.17884809,-101.719055
USA27271,USA,27271,Calmar,CALMAR,1026,1042,1058,32.56,31.89,31.95,-0.06,10.99,10.88,0.11,43.17997643,-91.85384904
USA27272,USA,27272,Spring Green,SPRINGGREEN,1283,1361,1444,39.00,30.59,29.24,1.36,13.31,13.24,0.07,43.1828806,-90.06076461
USA27273,USA,27273,Marshall,MARSHALL,5041,5800,6691,43.20,31.84,31.31,0.53,12.85,12.52,0.34,43.18203097,-89.01443598
USA27274,USA,27274,Ravenna,RAVENNA,919,1053,1206,17.53,33.34,32.62,0.72,11.17,11.06,0.11,43.19556604,-85.93393326
ESP27277,ESP,27277,CangasÿdelÿNarcea,CANGASDELNARCEA,15657,16010,16417,41.95,34.72,33.04,1.68,10.27,10.63,-0.37,43.180739,-6.544099145
USA27297,USA,27297,Mountain Home,MOUNTAINHOME,7913,9390,11143,162.27,58.16,58.14,0.01,14.22,13.92,0.30,43.14162486,-115.6847677
USA27301,USA,27301,Mazomanie,MAZOMANIE,2625,2713,2805,51.36,30.81,30.06,0.75,13.01,13.05,-0.04,43.15947469,-89.76352023
USA27302,USA,27302,Carson,CARSON,1158,1174,1190,52.61,33.46,32.13,1.34,10.84,11.29,-0.44,43.16560685,-84.8594288
USA27303,USA,27303,Montrose,MONTROSE,1811,1712,1619,23.79,31.24,31.05,0.19,12.20,12.43,-0.24,43.17905588,-83.87807507
USA27304,USA,27304,Henniker,HENNIKER,1693,1660,1627,35.69,30.12,29.14,0.98,13.88,13.80,0.07,43.17072308,-71.80227145
ITA27307,ITA,27307,Castagneto Carducci,CASTAGNETOCARDUCCI,7980,8086,8180,24.27,40.14,36.85,3.29,18.84,19.50,-0.66,43.17238006,10.57258268
HRV27309,HRV,27309,Hvar,HVAR,3879,3934,3738,14.51,36.32,32.21,4.11,21.04,20.96,0.08,43.17886442,16.45212714
SCG27311,SCG,27311,Pirot,PIROT,38111,39160,40239,78.91,38.36,35.45,2.91,12.74,12.28,0.46,43.16335738,22.60164556
BGR27312,BGR,27312,Lovec,LOVEC,49173,46877,44687,82.06,36.81,35.02,1.79,15.51,15.10,0.41,43.15067682,24.72515081
CAN27319,CAN,27319,Parkhill,PARKHILL,1505,1614,1728,24.42,29.99,30.45,-0.46,11.18,10.60,0.58,43.16325618,-81.68066533
ITA27323,ITA,27323,Perugia,PERUGIA,168859,171368,173915,457.74,40.69,37.99,2.70,17.62,17.39,0.23,43.08983719,12.42525414
SCG27324,SCG,27324,Novi Pazar,NOVIPAZAR,46421,49670,53146,90.22,38.25,35.22,3.03,12.87,12.62,0.25,43.14251536,20.52290849
BGR27325,BGR,27325,Veliko Tarnovo,VELIKOTARNOVO,107347,105141,103030,244.44,38.13,37.45,0.68,16.26,15.62,0.65,43.1154351,25.66347486
USA27333,USA,27333,Boscobel,BOSCOBEL,2706,2871,3047,60.18,30.10,29.22,0.88,13.23,12.90,0.33,43.1398369,-90.69272013
CAN27334,CAN,27334,London,LONDON,363924,390457,417993,1443.48,31.65,29.52,2.13,10.40,10.76,-0.37,42.96122712,-81.13053883
USA27349,USA,27349,Nora Springs,NORASPRINGS,1505,1518,1532,31.95,35.64,36.39,-0.75,11.72,11.13,0.59,43.14893903,-93.00188362
USA27360,USA,27360,Bandon,BANDON,2215,2505,2833,95.27,22.74,22.74,0.00,6.69,8.46,-1.78,43.11524061,-124.3990152
USA27364,USA,27364,Bellows Falls,BELLOWSFALLS,3313,3238,3165,72.69,30.42,29.29,1.12,12.35,12.00,0.34,43.12647804,-72.42874049
