ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
BEL90023,BEL,90023,Orp-Jauche,ORPJAUCHE,7152,7303,7449,12.31,33.41,33.25,0.16,11.77,11.32,0.45,50.67989817,4.960000195
MOZ90023,MOZ,90023, ,MURRUPULA,8323,12214,16148,26.00,38.97,37.61,1.37,19.34,18.65,0.69,-15.4569305,38.67722352
TCD90023,TCD,90023, ,BOKORO,8859,10841,13503,30.60,45.86,47.65,-1.80,23.71,23.83,-0.13,12.38333088,17.04999907
CAF90023,CAF,90023, ,BIMBO,10751,10751,10751,38.08,28.49,28.57,-0.08,17.14,18.57,-1.42,4.247887092,18.54340919
BGD90023,BGD,90023,Kachua,KACHUA,11682,15478,20508,17.06,31.87,31.60,0.27,20.39,21.10,-0.70,23.34972581,90.90000178
MDG90023,MDG,90023, ,FENOARIVOATSINANANAAMBONIVOHITRA,11845,14836,17573,14.33,32.94,34.43,-1.49,16.88,18.06,-1.18,-17.35953306,49.39927262
ITA90023,ITA,90023,Lendinara,LENDINARA,12641,12438,12239,36.26,37.92,37.23,0.69,18.41,18.23,0.18,45.0899916,11.58999969
CHN90023,CHN,90023,Fuhai,FUHAI,13704,16546,19731,16.81,32.36,32.62,-0.26,15.16,15.53,-0.37,47.93329355,124.8000042
MLI90023,MLI,90023,NIORO COMMU,NIOROCOMMU,13995,17470,21895,29.42,43.75,42.46,1.29,22.97,22.42,0.55,15.23430739,-9.590230401
BFA90023,BFA,90023,Yako,YAKO,15976,18030,20349,29.83,43.38,43.56,-0.18,17.75,19.79,-2.04,12.96666383,-2.266666846
GIN90023,GIN,90023,Lola,LOLA,16815,21274,25838,32.04,28.56,28.03,0.53,18.02,16.64,1.38,7.794000555,-8.529999907
DEU90023,DEU,90023,Ennigerloh,ENNIGERLOH,20321,20513,20708,34.53,35.34,34.93,0.40,10.71,10.74,-0.03,51.83992181,8.009991296
IDN90023,IDN,90023,Kelari,KELARI,21000,26328,33253,30.57,30.87,30.42,0.45,23.22,22.92,0.30,-6.119999809,107.2200011
BEN90023,BEN,90023,DogboTota,DOGBOTOTA,25052,28342,28342,36.26,30.71,31.61,-0.90,20.66,20.63,0.03,6.800000665,1.783333071
RUS90023,RUS,90023,Nerehta,NEREHTA,28362,28319,28000,130.95,26.90,25.94,0.96,8.59,9.20,-0.61,57.38135681,40.64671367
SDN90023,SDN,90023,Rumbek,RUMBIK,28688,37996,49093,46.77,43.47,37.01,6.46,21.78,21.47,0.31,6.81000056,29.69000038
CUB90023,CUB,90023,Manicaragua,MANICARAGUA,38548,40251,41941,64.17,33.84,31.45,2.39,22.46,22.06,0.40,22.14925854,-79.97361043
AFG90023,AFG,90023,Gardez,GARDEZ,50461,77054,95349,87.83,49.76,49.71,0.05,16.41,15.02,1.40,33.60000627,69.22000098
TGO90023,TGO,90023, ,KPELE,52040,65480,85645,52.07,32.14,32.00,0.14,20.52,20.29,0.23,6.850000534,1.179999679
COD90023,COD,90023,Bunia,BUNIA,59598,59598,59598,72.85,33.30,31.08,2.23,15.06,15.14,-0.08,1.559928851,30.23999969
